Fichero generado por el Mityc30/10/2013
Longitud;Latitud;Descripcion
-13.84653;28.52078;REPSOL Horario Especial 1,063 e
-13.84469;28.52217;REPSOL L-D: 06:00-22:00 1,063 e
-15.51033;28.11236;BP CRUCE SANTIDAD-ARUCAS L-D: 06:00-23:00 1,063 e
-15.70208;28.10186;BP AGAETE L-D: 06:00-23:00 1,063 e
-15.54706;28.06175;BP TEROR Horario Especial 1,063 e
-15.79575;27.98939;BP SAN NICOLAS L-D: 06:00-23:00 1,063 e
-15.47747;28.09358;BP TAMARACEITE L-D: 24H 1,063 e
-15.41728;28.07556;BP SAN JOSE L-D: 24H 1,063 e
-15.44331;27.85608;BP SARDINA SUR L-D: 24H 1,063 e
-15.42994;28.12661;BP CIUDAD JARDIN  L-D: 24H 1,063 e
-15.42072;28.15028;BP PUERTO DE LA LUZ L-D: 24H 1,063 e
-15.70839;27.79008;BP ARGUINEGUIN L-D: 24H 1,063 e
-15.43433;28.11394;BP ALTAVISTA L-D: 24H 1,063 e
-15.45697;27.83842;BP EL TARO L-D: 24H 1,063 e
-15.55856;27.76539;BP EL VERIL L-D: 24H 1,063 e
-15.44239;27.84894;VECINDARIO L-D: 24H 1,063 e
-15.47744;28.09356;BP SAN LORENZO L-D: 24H 1,063 e
-15.41486;28.10808;BP CIDELMAR L-D: 24H 1,063 e
-13.85056;28.50619;DISA  L-D: 24H 1,063 e
-15.79497;27.98903;DISA Horario Especial 1,063 e
-13.86681;28.46872;DISA RIO CABRAS L-D: 06:00-22:00 1,063 e
-15.70325;27.79547;SHELL PUERTO RICO L-D: 24H 1,063 e
-16.68786;28.07569;CEPSA L-D: 07:00-23:00 1,063 e
-13.86258;28.49744;DISA PUERTO DEL ROSARIO L-D: 06:00-22:00 1,063 e
-15.52814;28.11586;BP LAS VEGAS L-D: 24H 1,063 e
-13.8775;28.51683;DISA L-D: 06:00-22:00 1,063 e
-13.87631;28.51683;DISA L-D: 06:00-22:00 1,063 e
-15.39194;28.02619;BP LAS TERRAZAS L-D: 07:00-23:00 1,063 e
-15.45097;27.83497;BP DOCTORAL L-D: 24H 1,063 e
-16.57617;28.06106;BP L-D: 24H 1,064 e
-15.41606;28.15222;DISA PUERTO DE LA LUZ L-D: 06:00-22:00 1,064 e
-15.44122;28.12333;CEPSA L-D: 24H 1,064 e
-16.64536;28.03361;BP Horario Especial 1,064 e
-15.41664;28.14753;REPSOL Horario Especial 1,064 e
-15.43989;28.11064;REPSOL L-D: 06:00-22:00 1,064 e
-15.52747;28.07025;DISA  L-D: 06:00-23:00 1,064 e
-15.46389;28.07656;REPSOL L-D: 24H 1,064 e
-15.44067;28.10125;REPSOL L-D: 24H 1,064 e
-15.45389;28.11842;CEPSA LAS TORRES (TEXACO) L-D: 24H 1,064 e
-15.45525;28.11708;REPSOL L-D: 06:00-23:00 1,064 e
-15.44117;28.12331;REPSOL L-D: 24H 1,064 e
-15.43575;27.86311;CEPSA L-D: 06:00-22:00 1,064 e
-15.61475;27.99128;DISA  Horario Especial 1,065 e
-15.54897;27.91525;CEPSA L: 06:30-22:00 1,065 e
-16.54742;28.398;SHELL L-D: 24H 1,066 e
-16.27103;28.46739;DISA ARACAYU L-D: 24H 1,067 e
-15.43231;27.86469;CEPSA L-D: 24H 1,067 e
-15.43258;27.86481;CEPSA L-D: 06:00-22:00 1,067 e
-16.27017;28.46481;BP CRUZ DEL SENOR Horario Especial 1,067 e
-16.71461;28.05358;BP L-D: 24H 1,067 e
-15.44156;28.12989;BP GUANARTEME L-D: 06:00-01:00 1,069 e
-16.55833;28.39483;DISA Horario Especial 1,069 e
-15.42997;27.87961;REPSOL L-D: 06:30-22:30 1,069 e
-15.47433;27.805;TEXACO JUAN GRANDE L-D: 24H 1,069 e
-16.78489;28.14097;TEXACO ARMENIME L-D: 24H 1,069 e
-15.42917;27.91789;CEPSA INGENIO L-D: 06:00-23:00 1,069 e
-16.54378;28.41253;CEPSA PUERTO DE LA CRUZ L-D: 24H 1,069 e
-16.54833;28.41439;DISA Horario Especial 1,069 e
-16.27231;28.45842;DISA TIO PINO L-D: 06:00-22:00 1,069 e
-5.30086;35.89472;ALFAU L-D: 07:00-23:59 1,069 e
-16.73956;28.12364;SHELL L-D: 24H 1,070 e
-15.40761;27.90969;DISA L-D: 06:00-23:00 1,070 e
-13.93547;28.61117;LA OLIVA Horario Especial 1,071 e
-13.87011;28.73156;DISA CORRALEJO L-D: 07:00-22:00 1,072 e
-16.76808;28.13403;REPSOL L-D: 06:00-22:00 1,072 e
-16.75792;28.12808;SHELL L-D: 24H 1,072 e
-13.86828;28.73853;SHELL CORRALEJO Horario Especial 1,072 e
-16.26142;28.45772; BP AVENIDA 3 DE MAYO Horario Especial 1,074 e
-16.74078;28.12544;LA ATALAYA L-D: 24H 1,074 e
-16.68206;28.09939;BP.ARONA Horario Especial 1,074 e
-16.54617;28.41375;BP L-D: 24H 1,074 e
-16.20864;28.49644;REPSOL L-D: 07:00-21:00 1,074 e
